id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
812536,Condo in New Orleans · ★4.79 · 2 bedrooms · 2 beds · 1 bath,4271460,Christian,Central City,29.93616313,-90.08231128,Entire home/apt,97,30,63,24-04-2023,0.48,4,136
812675,Condo in New Orleans · ★4.88 · 2 bedrooms · 2 beds · 1 bath,4271460,Christian,Central City,29.93500637,-90.08173553,Entire home/apt,153,30,78,14-05-2023,0.59,4,166
829933,Home in New Orleans · ★4.92 · 1 bedroom · 1 bed · 1.5 baths,3849334,Liberty,Treme - Lafitte,29.96949,-90.07396,Private room,49,30,151,01-12-2023,1.14,1,102
845309,Home in New Orleans · ★4.96 · 3 bedrooms · 3 beds · 2.5 baths,4413148,Deborah,Marigny,29.96609,-90.05718,Entire home/apt,475,30,171,03-05-2021,1.29,1,325
851999,Rental unit in New Orleans · ★4.83 · 1 bedroom · 1 bed · 1 bath,4448274,Carolee,Leonidas,29.95565,-90.12383,Entire home/apt,132,31,111,08-11-2023,0.84,2,314
854997,Rental unit in New Orleans · ★4.78 · 1 bedroom · 2 beds · 1 bath,176809,Amy,Marigny,29.96731,-90.05927,Entire home/apt,199,30,137,16-04-2023,1.04,1,210
866070,Townhouse in New Orleans · ★4.74 · 2 bedrooms · 2 beds · 2 baths,2488332,Caitlin,East Carrollton,29.94795,-90.12494,Entire home/apt,50,30,79,07-12-2019,0.6,1,234
872905,Rental unit in New Orleans · ★4.95 · 1 bedroom · 1 bed · 1 bath,4606010,Monica,City Park,29.98148,-90.09697,Entire home/apt,65,30,56,05-11-2021,0.43,1,151
873413,Home in New Orleans · ★4.75 · 5 bedrooms · 8 beds · 4 baths,4271460,Christian,Central City,29.93500637,-90.08173553,Entire home/apt,651,4,77,27-08-2023,0.58,4,302
876987,Home in New Orleans · ★4.82 · 2 bedrooms · 2 beds · 2 baths,4632532,Denise,Bayou St. John,29.97567,-90.08295,Entire home/apt,125,30,109,14-05-2018,0.83,2,191
880981,Rental unit in New Orleans · ★4.96 · 2 bedrooms · 2 beds · 1 bath,4660356,Maria Poole,Mid-City,29.97237,-90.09663,Entire home/apt,152,30,209,03-01-2021,1.59,1,1
